Date,Winner,WinnerScore,Loser,LoserScore,,,,,
11/24/2024,VCU,77,Miami FL,70,"Charleston,",SC,,,
11/24/2024,South Florida,73,Wright St,72,"Conway,",SC,,,
11/24/2024,LSU,109,UCF                     1,2,O3,White,Sulphur,"Springs,",WV
11/24/2024,Missouri KC,88,PR Rio Piedras,55,"Bayamon,",PR,,,
11/24/2024,Bradley,80,MTSU,69,"Conway,",SC,,,
11/24/2024,McNeese St,84,Longwood,69,St.,"Thomas,",VI,,
11/24/2024,Wisconsin,81,Pittsburgh,75,White,Sulphur,"Springs,",WV,
11/24/2024,Liberty,67,Kansas St,65,St.,"Thomas,",VI,,
11/24/2024,Texas St,74,Ohio,65,"Conway,",SC,,,
11/24/2024,Drake,81,Vanderbilt,70,"Charleston,",SC,,,
11/24/2024,@California,83,CS Sacramento,77,,,,,
11/24/2024,@ETSU,82,Queens NC,67,,,,,
11/24/2024,@Lipscomb,77,Jackson St,53,,,,,
11/24/2024,@Kennesaw,79,Rutgers,77,,,,,
11/24/2024,Maryland,76,Villanova,75,"Newark,",NJ,,,
11/24/2024,@Northwestern LA,71,North Alabama,58,,,,,
11/24/2024,Boston College,82,Old Dominion,52,George,"Town,",Cayman,Islands,
11/24/2024,@Cent Arkansas,92,UNC Asheville,83,O2,,,,
11/24/2024,@UC Riverside,69,Alcorn St,52,,,,,
11/24/2024,@Rhode Island,91,Col Charleston,53,,,,,
11/24/2024,CS Northridge,89,Utah Tech,79,"Missoula,",MT,,,
11/24/2024,@Valparaiso,81,E Illinois,53,,,,,
11/24/2024,@Evansville,66,Campbell,53,,,,,
11/24/2024,Fairfield,67,Vermont,66,"Uncasville,",CT,,,
11/24/2024,Boise St,83,Hampton,69,George,"Town,",Cayman,Islands,
11/24/2024,@Maine,80,Holy Cross,55,,,,,
11/24/2024,@San Diego,68,Idaho,61,,,,,
11/24/2024,NE Omaha,65,Lamar,59,"Akron,",OH,,,
11/24/2024,@Air Force,82,Mercyhurst,48,,,,,
11/24/2024,@Missouri,112,Ark Pine Bluff,63,,,,,
11/24/2024,Missouri St,71,High Point,61,George,"Town,",Cayman,Islands,
11/24/2024,@Montana St,79,Southern Miss,59,,,,,
11/24/2024,Portland St,79,Wofford,74,"Milwaukee,",WI,,,
11/24/2024,@Central Conn,64,Binghamton,56,,,,,
11/24/2024,S Dakota St,71,Duquesne,60,George,"Town,",Cayman,Islands,
11/24/2024,Boston Univ,69,Howard,62,"Baltimore,",MD,,,
11/24/2024,Towson,64,@Morgan St,60,,,,,
11/24/2024,@Appalachian St,79,William & Mary,76,,,,,
11/24/2024,Delaware,100,Yale,94,"Uncasville,",CT,,,
11/24/2024,@WI Milwaukee,69,St Thomas MN,65,,,,,
11/24/2024,Georgia,66,St John's,63,"Nassau,",Bahamas,,,
11/24/2024,@St Bonaventure,85,Bryant,70,,,,,
11/24/2024,Florida St,92,Massachusetts,59,"Uncasville,",CT,,,
11/25/2024,@Weber St,93,Justice,45,,,,,
11/25/2024,@Columbia,83,New Hampshire,57,,,,,
11/25/2024,@UMBC,95,Howard,77,,,,,
11/25/2024,@Nicholls St,79,Mississippi Col,35,,,,,
11/25/2024,@NC Central,91,Carolina Univ,36,,,,,
11/25/2024,@Chattanooga,85,Tennessee St,78,,,,,
11/25/2024,San Jose St,71,UTEP,65,"Henderson,",NV,,,
11/25/2024,@North Texas,58,Oregon St,55,,,,,
11/25/2024,@South Dakota,112,Randall,50,,,,,
11/25/2024,CS Northridge,89,Denver,60,"Missoula,",MT,,,
11/25/2024,Rogers St,69,@Oral Roberts,68,,,,,
11/25/2024,@MA Lowell,81,Merrimack,74,,,,,
11/25/2024,Louisiana Tech,85,S Illinois,79,O1,"Estero,",FL,,
11/25/2024,Ball St,63,E Kentucky,61,"Estero,",FL,,,
11/25/2024,@Troy,86,UT San Antonio,72,,,,,
11/25/2024,Richmond,67,Florida Tech,57,"Estero,",FL,,,
11/25/2024,UAB,98,Louisiana,86,St.,"Thomas,",VI,,
11/25/2024,G Washington,72,Illinois St,64,St.,"Thomas,",VI,,
11/25/2024,Hampton,64,Duquesne,59,George,"Town,",Cayman,Islands,
11/25/2024,Boise St,83,S Dakota St,82,George,"Town,",Cayman,Islands,
11/25/2024,High Point,73,Old Dominion,67,George,"Town,",Cayman,Islands,
11/25/2024,Kansas St,80,Longwood,64,St.,"Thomas,",VI,,
11/25/2024,Boston College,76,Missouri St,74,O1,George,"Town,",Cayman,Islands
11/25/2024,Liberty,62,McNeese St,58,St.,"Thomas,",VI,,
11/25/2024,@Illinois,92,Ark Little Rock,34,,,,,
11/25/2024,Cornell,84,@Iona,68,,,,,
11/25/2024,Miami OH,70,Siena,58,Fort,"Myers,",FL,,
11/25/2024,Michigan,75,Virginia Tech,63,Fort,"Myers,",FL,,
11/25/2024,UNC Greensboro,71,Long Beach St,48,"Henderson,",NV,,,
11/25/2024,@Idaho St,97,Embry-Riddle AZ,46,,,,,
11/25/2024,Abilene Chr,82,Southern Miss,74,"Bozeman,",MT,,,
11/25/2024,North Carolina,92,Dayton,90,"Lahaina,",HI,,,
11/25/2024,@Montana,69,Utah Tech,66,,,,,
11/25/2024,E Michigan,74,@Houston Chr,73,,,,,
11/25/2024,Penn St,85,Fordham,66,Daytona,"Beach,",FL,,
11/25/2024,@South Alabama,84,Incarnate Word,63,,,,,
11/25/2024,IUPUI,88,@Alabama A&M,83,,,,,
11/25/2024,@Southern Indiana,87,Indiana St,77,,,,,
11/25/2024,Auburn,83,Iowa St,81,"Lahaina,",HI,,,
11/25/2024,@Arkansas,109,MD E Shore,35,,,,,
11/25/2024,@Navy,94,Washington MD,43,,,,,
11/25/2024,@St Louis,81,Quinnipiac,67,,,,,
11/25/2024,Radford,63,Chicago St,48,Daytona,"Beach,",FL,,
11/25/2024,Clemson,70,San Francisco,55,Daytona,"Beach,",FL,,
11/25/2024,@Southern Univ,121,Champion Bap,58,,,,,
11/25/2024,@Stonehill,67,East Texas A&M,65,,,,,
11/25/2024,@UTRGV,97,Le Moyne,77,,,,,
11/25/2024,Norfolk St,76,@UC Davis,55,,,,,
11/25/2024,@Ohio St,102,WI Green Bay,69,,,,,
11/25/2024,@Buffalo,82,NC A&T,81,,,,,
11/25/2024,@Winthrop,87,LIU Brooklyn,65,,,,,
11/25/2024,@Minnesota,68,C Michigan,65,,,,,
11/25/2024,PFW,87,Drexel,81,Daytona,"Beach,",FL,,
11/25/2024,Mercer,90,Jacksonville,89,O1,Fort,"Myers,",FL,
11/25/2024,Memphis,99,Connecticut,97,O1,"Lahaina,",HI,,
11/25/2024,Michigan St,72,Colorado,56,"Lahaina,",HI,,,
11/25/2024,Xavier,75,South Carolina,66,Fort,"Myers,",FL,,
11/26/2024,@Citadel,100,St Andrew's,85,,,,,
11/26/2024,@TAM C. Christi,94,TX Lutheran,45,,,,,
11/26/2024,@Cleveland St,56,NJIT,53,,,,,
11/26/2024,Furman,61,Seattle,56,Las,"Vegas,",NV,,
11/26/2024,W Illinois,64,@South Alabama,63,,,,,
11/26/2024,Bryant,97,Tennessee St,85,"Chattanooga,",TN,,,
11/26/2024,@Delaware St,111,PSU Wilkes-Barre,43,,,,,
11/26/2024,Washington St,84,Fresno St,73,Palm,"Springs,",CA,,
11/26/2024,Utah Valley,77,West Georgia,74,"Birmingham,",AL,,,
11/26/2024,@Army,91,SUNY Maritime,52,,,,,
11/26/2024,@Bellarmine,101,Midway,60,,,,,
11/26/2024,Murray St,79,UT Arlington,66,"Jacksonville,",FL,,,
11/26/2024,@Cal Poly,82,Grambling,79,,,,,
11/26/2024,Tulsa,63,Detroit,44,"Jacksonville,",FL,,,
11/26/2024,Austin Peay,62,Georgia St,50,"Jacksonville,",FL,,,
11/26/2024,Louisiana Tech,65,Richmond,62,"Estero,",FL,,,
11/26/2024,Ball St,94,Florida Tech,57,"Estero,",FL,,,
11/26/2024,E Kentucky,77,S Illinois,72,"Estero,",FL,,,
11/26/2024,Drexel,83,Chicago St,71,Daytona,"Beach,",FL,,
11/26/2024,Duquesne,67,Old Dominion,54,George,"Town,",Cayman,Islands,
11/26/2024,Jacksonville,75,Siena,64,Fort,"Myers,",FL,,
11/26/2024,High Point,76,Hampton,73,George,"Town,",Cayman,Islands,
11/26/2024,Miami OH,75,Mercer,72,Fort,"Myers,",FL,,
11/26/2024,San Francisco,85,Fordham,64,Daytona,"Beach,",FL,,
11/26/2024,Colorado,73,Connecticut,72,"Lahaina,",HI,,,
11/26/2024,Clemson,75,Penn St,67,Daytona,"Beach,",FL,,
11/26/2024,S Dakota St,75,Missouri St,55,George,"Town,",Cayman,Islands,
11/26/2024,Memphis,71,Michigan St,63,"Lahaina,",HI,,,
11/26/2024,Radford,69,PFW,56,Daytona,"Beach,",FL,,
11/26/2024,Boston College,63,Boise St,61,George,"Town,",Cayman,Islands,
11/26/2024,Iowa St,89,Dayton,84,"Lahaina,",HI,,,
11/26/2024,Auburn,85,North Carolina,72,"Lahaina,",HI,,,
11/26/2024,Kansas,75,Duke,72,Las,"Vegas,",NV,,
11/26/2024,@St Joseph's PA,83,Coppin St,54,,,,,
11/26/2024,@UCLA,88,Southern Utah,43,,,,,
11/26/2024,@Virginia,74,Manhattan,65,,,,,
11/26/2024,UTEP,70,Long Beach St,44,"Henderson,",NV,,,
11/26/2024,SMU,79,Cal Baptist,77,Palm,"Springs,",CA,,
11/26/2024,CS Fullerton,72,@Pepperdine,63,,,,,
11/26/2024,@Montana St,85,Abilene Chr,59,,,,,
11/26/2024,Utah Tech,68,Denver,54,"Missoula,",MT,,,
11/26/2024,E Michigan,72,Northern Arizona,68,"Houston,",TX,,,
11/26/2024,@UC Santa Barbara,67,E Washington,51,,,,,
11/26/2024,St Peter's,78,@F Dickinson,76,,,,,
11/26/2024,@Georgetown,66,Wagner,41,,,,,
11/26/2024,@Hawaii,67,Hawaii Pacific,63,,,,,
11/26/2024,Loy Marymount,77,Belmont,63,Riviera,"Maya,",Mexico,,
11/26/2024,@Loyola MD,70,VMI,67,,,,,
11/26/2024,@Utah,94,MS Valley St,48,,,,,
11/26/2024,Bethune-Cookman,79,North Dakota,67,Riviera,"Maya,",Mexico,,
11/26/2024,@Samford,103,N Dakota St,98,O1,,,,
11/26/2024,@St Francis PA,88,Lehigh,78,,,,,
11/26/2024,@Iowa,110,SC Upstate,77,,,,,
11/26/2024,Gardner Webb,73,SE Louisiana,69,Riviera,"Maya,",Mexico,,
11/26/2024,Wyoming,64,Tulane,63,Riviera,"Maya,",Mexico,,
11/26/2024,San Jose St,69,UNC Greensboro,64,"Henderson,",NV,,,
11/26/2024,@Florida St,91,W Carolina,57,"Asheville,",NC,,,
11/26/2024,@Kentucky,87,WKU,68,,,,,
11/26/2024,San Diego St,71,Creighton,53,Las,"Vegas,",NV,,
11/26/2024,Oregon,80,Texas A&M,70,Las,"Vegas,",NV,,
11/26/2024,Grand Canyon,78,Stanford,71,Palm,"Springs,",CA,,
11/26/2024,@N Colorado,92,N New Mexico,50,,,,,
11/26/2024,Alabama,85,Houston,80,O1,Las,"Vegas,",NV,
11/26/2024,Rutgers,85,Notre Dame,84,O1,Las,"Vegas,",NV,
11/27/2024,ETSU,75,@Charlotte,55,,,,,
11/27/2024,@San Diego,69,Marian WI,64,,,,,
11/27/2024,@UMBC,92,Morgan St,69,,,,,
11/27/2024,NJIT,78,Morehead St,69,"Cleveland,",OH,,,
11/27/2024,@Princeton,99,Nazareth,63,,,,,
11/27/2024,@Samford,84,Utah Valley,76,,,,,
11/27/2024,@Brown,77,Stony Brook,54,,,,,
11/27/2024,@Chattanooga,84,Bryant,76,,,,,
11/27/2024,@Vermont,78,Plattsburgh St,55,,,,,
11/27/2024,W Michigan,73,@Youngstown St,62,,,,,
11/27/2024,@Montana,83,CS Northridge,75,,,,,
11/27/2024,@Marshall,82,S Carolina St,53,,,,,
11/27/2024,Rhode Island,81,Detroit,75,"Jacksonville,",FL,,,
11/27/2024,Georgia St,74,Tulsa,71,"Jacksonville,",FL,,,
11/27/2024,UT Arlington,68,Austin Peay,58,"Jacksonville,",FL,,,
11/27/2024,Houston,65,Notre Dame,54,Las,"Vegas,",NV,,
11/27/2024,Louisiana Tech,78,E Kentucky,69,"Estero,",FL,,,
11/27/2024,Richmond,73,Ball St,60,"Estero,",FL,,,
11/27/2024,S Illinois,81,Florida Tech,54,"Estero,",FL,,,
11/27/2024,UT San Antonio,76,Merrimack,74,"Troy,",AL,,,
11/27/2024,SE Louisiana,76,North Dakota,60,Riviera,"Maya,",Mexico,,
11/27/2024,Iowa St,99,Colorado,71,"Lahaina,",HI,,,
11/27/2024,Gardner Webb,79,Bethune-Cookman,64,Riviera,"Maya,",Mexico,,
11/27/2024,Auburn,90,Memphis,76,"Lahaina,",HI,,,
11/27/2024,Belmont,89,Tulane,66,Riviera,"Maya,",Mexico,,
11/27/2024,Michigan,78,Xavier,53,Fort,"Myers,",FL,,
11/27/2024,Loy Marymount,73,Wyoming,70,Riviera,"Maya,",Mexico,,
11/27/2024,SMU,77,Washington St,60,Palm,"Springs,",CA,,
11/27/2024,Michigan St,94,North Carolina,91,O1,"Lahaina,",HI,,
11/27/2024,Dayton,85,Connecticut,67,"Lahaina,",HI,,,
11/27/2024,Cal Baptist,86,Fresno St,81,O2,Palm,"Springs,",CA,
11/27/2024,South Carolina,70,Virginia Tech,60,Fort,"Myers,",FL,,
11/27/2024,@California,81,Mercyhurst,55,,,,,
11/27/2024,Louisville,89,Indiana,61,"Nassau,",Bahamas,,,
11/27/2024,@Maryland,91,Bucknell,67,,,,,
11/27/2024,@Nebraska,96,South Dakota,79,,,,,
11/27/2024,@Robert Morris,72,Canisius,64,,,,,
11/27/2024,@Syracuse,82,Cornell,72,,,,,
11/27/2024,@Villanova,72,Rider,48,,,,,
11/27/2024,San Jose St,82,Long Beach St,66,"Henderson,",NV,,,
11/27/2024,@North Alabama,100,Dalton St,69,,,,,
11/27/2024,CS Sacramento,63,@Air Force,61,,,,,
11/27/2024,@Cincinnati,77,Alabama St,59,,,,,
11/27/2024,Colgate,72,@UNC Wilmington,59,,,,,
11/27/2024,@Col Charleston,79,N Kentucky,64,,,,,
11/27/2024,Appalachian St,66,Sam Houston St,63,"Wilmington,",NC,,,
11/27/2024,West Virginia,86,Gonzaga,78,O1,"Nassau,",Bahamas,,
11/27/2024,Massachusetts,62,@Harvard,54,,,,,
11/27/2024,@Ark Little Rock,78,MD E Shore,59,,,,,
11/27/2024,Incarnate Word,86,W Illinois,75,"Mobile,",AL,,,
11/27/2024,@Winthrop,99,Averett,56,,,,,
11/27/2024,@Missouri,81,Lindenwood,61,,,,,
11/27/2024,@Baylor,91,New Orleans,60,,,,,
11/27/2024,N Dakota St,73,West Georgia,61,"Birmingham,",AL,,,
11/27/2024,Northern Arizona,74,@Houston Chr,71,,,,,
11/27/2024,@Pacific,83,Ark Pine Bluff,71,,,,,
11/27/2024,Oklahoma,79,Providence,77,"Nassau,",Bahamas,,,
11/27/2024,@St Louis,93,MA Lowell,90,,,,,
11/27/2024,@Marquette,94,Stonehill,59,,,,,
11/27/2024,@Tennessee,78,TN Martin,35,,,,,
11/27/2024,@Tennessee Tech,90,Presbyterian,75,,,,,
11/27/2024,@TX Southern,80,TX A&M K'ville,72,,,,,
11/27/2024,UTEP,64,UNC Greensboro,58,"Henderson,",NV,,,
11/27/2024,@Valparaiso,87,N Illinois,82,,,,,
11/27/2024,@Georgia Tech,91,Charleston So,67,,,,,
11/27/2024,@UCF,84,WI Milwaukee,76,,,,,
11/27/2024,Oregon,78,San Diego St,68,Las,"Vegas,",NV,,
11/27/2024,Texas A&M,77,Creighton,73,Las,"Vegas,",NV,,
11/27/2024,Arizona,104,Davidson,71,"Nassau,",Bahamas,,,
11/27/2024,Alabama,95,Rutgers,90,Las,"Vegas,",NV,,
11/28/2024,Rhode Island,83,UT Arlington,78,"Jacksonville,",FL,,,
11/28/2024,Gonzaga,89,Indiana,73,"Nassau,",Bahamas,,,
11/28/2024,Louisville,79,West Virginia,70,O1,"Nassau,",Bahamas,,
11/28/2024,Oklahoma,82,Arizona,77,"Nassau,",Bahamas,,,
11/28/2024,Davidson,69,Providence,58,"Nassau,",Bahamas,,,
11/28/2024,Illinois,90,Arkansas,77,Kansas,"City,",MO,,
11/28/2024,Santa Clara,69,TCU,52,Palm,"Springs,",CA,,
11/28/2024,UC Irvine,76,Kennesaw,59,"Lethbridge,",AB,,,
11/28/2024,Butler,71,Northwestern,69,"Tempe,",AZ,,,
11/28/2024,Florida,75,Wake Forest,58,"Kissimmee,",FL,,,
11/28/2024,Arizona St,85,New Mexico,82,Palm,"Springs,",CA,,
11/28/2024,Mississippi St,80,UNLV,58,"Tempe,",AZ,,,
11/28/2024,N Dakota St,83,Utah Valley,63,"Birmingham,",AL,,,
11/28/2024,St Mary's CA,71,USC,36,Palm,"Springs,",CA,,
11/28/2024,Kent,65,Towson,54,"Lethbridge,",AB,,,
11/28/2024,Utah St,72,St Bonaventure,67,"Kissimmee,",FL,,,
11/28/2024,Washington,73,Colorado St,67,Palm,"Springs,",CA,,
11/28/2024,Wichita St,68,Minnesota,66,O1,"Kissimmee,",FL,,
11/28/2024,Purdue,71,NC State,61,San,"Diego,",CA,,
11/28/2024,Mississippi,96,BYU,85,O1,San,"Diego,",CA,
11/28/2024,North Texas,68,Northern Iowa,48,"Kissimmee,",FL,,,
11/29/2024,Weber St,73,Bowling Green,70,"Tempe,",AZ,,,
11/29/2024,Morehead St,71,@Cleveland St,69,,,,,
11/29/2024,Maine,69,Elon,56,"Philadelphia,",PA,,,
11/29/2024,UC Irvine,51,Kent,39,"Lethbridge,",AB,,,
11/29/2024,SF Austin,68,@ULM,60,,,,,
11/29/2024,Pepperdine,82,New Mexico St,70,"Tempe,",AZ,,,
11/29/2024,@East Carolina,93,NC A&T,69,,,,,
11/29/2024,@Samford,86,West Georgia,65,,,,,
11/29/2024,Le Moyne,81,@Manhattan,77,,,,,
11/29/2024,@Lafayette,75,LIU Brooklyn,56,,,,,
11/29/2024,Merrimack,72,@Troy,68,,,,,
11/29/2024,Indiana,89,Providence,73,"Nassau,",Bahamas,,,
11/29/2024,Oklahoma,69,Louisville,64,"Nassau,",Bahamas,,,
11/29/2024,Arizona St,68,St Mary's CA,64,Palm,"Springs,",CA,,
11/29/2024,West Virginia,83,Arizona,76,O1,"Nassau,",Bahamas,,
11/29/2024,BYU,72,NC State,61,San,"Diego,",CA,,
11/29/2024,Butler,87,Mississippi St,77,"Tempe,",AZ,,,
11/29/2024,Wake Forest,57,Minnesota,51,"Kissimmee,",FL,,,
11/29/2024,Purdue,80,Mississippi,78,San,"Diego,",CA,,
11/29/2024,Northwestern,66,UNLV,61,"Tempe,",AZ,,,
11/29/2024,Colorado St,76,TCU,72,O1,Palm,"Springs,",CA,
11/29/2024,Gonzaga,90,Davidson,65,"Nassau,",Bahamas,,,
11/29/2024,Florida,88,Wichita St,51,"Kissimmee,",FL,,,
11/29/2024,Utah St,61,North Texas,57,"Kissimmee,",FL,,,
11/29/2024,St Bonaventure,68,Northern Iowa,56,"Kissimmee,",FL,,,
11/29/2024,Washington,76,Santa Clara,69,Palm,"Springs,",CA,,
11/29/2024,New Mexico,83,USC,73,Palm,"Springs,",CA,,
11/29/2024,Dartmouth,88,@Boston College,83,,,,,
11/29/2024,@Duke,70,Seattle,48,,,,,
11/29/2024,Kennesaw,67,Towson,63,O1,"Lethbridge,",AB,,
11/29/2024,@VCU,103,Eliz. City St,58,,,,,
11/29/2024,@Virginia,67,Holy Cross,41,,,,,
11/29/2024,@Clemson,86,Florida A&M,58,,,,,
11/29/2024,@South Alabama,74,Alcorn St,65,O1,,,,
11/29/2024,Appalachian St,72,Colgate,50,"Wilmington,",NC,,,
11/29/2024,@E Illinois,72,N Illinois,59,,,,,
11/29/2024,George Mason,66,@James Madison,61,,,,,
11/29/2024,@UC Santa Barbara,81,MS Valley St,48,,,,,
11/29/2024,Navy,86,@Penn,78,,,,,
11/29/2024,Niagara,65,Binghamton,62,"Easton,",PA,,,
11/29/2024,North Florida,78,@SIUE,73,,,,,
11/29/2024,@Belmont,83,Gardner Webb,74,,,,,
11/29/2024,Pittsburgh,91,@Ohio St,90,O1,,,,
11/29/2024,@UNC Wilmington,69,Sam Houston St,60,,,,,
11/29/2024,@Vanderbilt,87,Tennessee Tech,56,,,,,
11/29/2024,@Texas,90,Delaware St,68,,,,,
11/29/2024,@Bradley,107,Judson IL,41,,,,,
11/29/2024,@DePaul,89,Valparaiso,70,,,,,
11/29/2024,@G Washington,77,VMI,64,,,,,
11/29/2024,@Liberty,93,Central Penn,36,,,,,
11/29/2024,@LSU,77,Northwestern LA,53,,,,,
11/29/2024,@Kentucky,105,Georgia St,76,,,,,
11/29/2024,Iona,62,Tarleton St,51,"Nassau,",Bahamas,,,
11/29/2024,Arkansas St,86,Indiana St,81,"Nassau,",Bahamas,,,
11/29/2024,Hofstra,68,Rice,63,O1,"Nassau,",Bahamas,,
11/29/2024,@Texas Tech,89,N Colorado,64,,,,,
11/30/2024,@ETSU,79,Austin Peay,57,,,,,
11/30/2024,@High Point,81,Pfeiffer,50,,,,,
11/30/2024,@TAM C. Christi,109,Prairie View,74,,,,,
11/30/2024,@Southern Utah,74,CS Bakersfield,64,,,,,
11/30/2024,FGCU,80,@FL Atlantic,78,,,,,
11/30/2024,@Vermont,68,Northeastern,64,,,,,
11/30/2024,@N Kentucky,86,Bellarmine,70,,,,,
11/30/2024,@SE Missouri St,80,Missouri KC,59,,,,,
11/30/2024,@UC San Diego,109,La Verne,33,,,,,
11/30/2024,@Wright St,70,Air Force,57,,,,,
11/30/2024,Nicholls St,76,@Louisiana,75,,,,,
11/30/2024,@WKU,90,Marshall,82,,,,,
11/30/2024,@Youngstown St,128,Bethany WV,60,,,,,
11/30/2024,PFW,77,@East Texas A&M,57,,,,,
11/30/2024,@Lafayette,59,Niagara,47,,,,,
11/30/2024,@Drake,61,Ga Southern,47,,,,,
11/30/2024,Oregon,83,Alabama,81,Las,"Vegas,",NV,,
11/30/2024,Bowling Green,61,New Mexico St,60,"Tempe,",AZ,,,
11/30/2024,Creighton,80,Notre Dame,76,Las,"Vegas,",NV,,
11/30/2024,San Diego St,73,Houston,70,O1,Las,"Vegas,",NV,
11/30/2024,Weber St,68,Pepperdine,53,"Tempe,",AZ,,,
11/30/2024,Texas A&M,81,Rutgers,77,Las,"Vegas,",NV,,
11/30/2024,Lipscomb,82,@Alabama A&M,44,,,,,
11/30/2024,@Kansas,86,Furman,51,,,,,
11/30/2024,Kent,67,Kennesaw,60,"Lethbridge,",AB,,,
11/30/2024,@La Salle,83,Temple,75,,,,,
11/30/2024,Delaware,72,@Rider,66,,,,,
11/30/2024,@Pacific,64,CS Fullerton,55,,,,,
11/30/2024,Mercyhurst,66,@CS Sacramento,60,,,,,
11/30/2024,@NC Central,131,VA-Lynchburg,51,,,,,
11/30/2024,@Georgia Tech,87,Cent Arkansas,68,,,,,
11/30/2024,@Coastal Car,73,SC Upstate,51,,,,,
11/30/2024,Sam Houston St,82,Colgate,78,"Wilmington,",NC,,,
11/30/2024,Abilene Chr,71,@NE Omaha,55,,,,,
11/30/2024,Detroit,98,@E Michigan,89,O1,,,,
11/30/2024,@Portland St,71,Utah Tech,68,,,,,
11/30/2024,@Utah,88,E Washington,80,,,,,
11/30/2024,@UNC Wilmington,76,Appalachian St,61,,,,,
11/30/2024,@Georgetown,100,SUNY Albany,68,,,,,
11/30/2024,@St John's,77,Harvard,64,,,,,
11/30/2024,@Idaho,80,UC Riverside,68,,,,,
11/30/2024,@IUPUI,106,Trinity Chr,49,,,,,
11/30/2024,@Lamar,88,Our Lady Lake,54,,,,,
11/30/2024,@IL Chicago,91,Aurora,76,,,,,
11/30/2024,@Lehigh,74,Marist,69,,,,,
11/30/2024,@Connecticut,99,MD E Shore,45,,,,,
11/30/2024,Monmouth NJ,63,@Seton Hall,51,,,,,
11/30/2024,CS Northridge,72,@Montana St,69,O1,,,,
11/30/2024,Mt St Mary's,79,@Howard,75,,,,,
11/30/2024,Elon,69,Navy,63,"Philadelphia,",PA,,,
11/30/2024,Oakland,85,@Toledo,52,,,,,
11/30/2024,@Penn,77,Maine,64,,,,,
11/30/2024,@Ohio,84,Robert Morris,68,,,,,
11/30/2024,Binghamton,75,LIU Brooklyn,70,O1,"Easton,",PA,,
11/30/2024,Siena,71,Bucknell,58,"Wilkes-Barre,",PA,,,
11/30/2024,Southern Univ,73,@Louisiana Tech,70,,,,,
11/30/2024,UC Irvine,67,Towson,60,"Lethbridge,",AB,,,
11/30/2024,@Oregon St,90,UC Davis,57,,,,,
11/30/2024,@Marquette,94,W Carolina,62,,,,,
11/30/2024,@Wisconsin,74,Chicago St,53,,,,,
11/30/2024,Campbell,72,@WI Green Bay,66,,,,,
11/30/2024,@UT San Antonio,78,Houston Chr,71,,,,,
11/30/2024,@Southern Miss,66,WI Milwaukee,65,,,,,
11/30/2024,Cal Poly,97,@Stanford,90,,,,,
11/30/2024,Charleston So,83,@Miami FL,79,,,,,
11/30/2024,@Georgia,102,Jacksonville,56,,,,,
11/30/2024,Indiana St,83,Iona,80,"Nassau,",Bahamas,,,
11/30/2024,Tarleton St,61,Hofstra,59,"Nassau,",Bahamas,,,
11/30/2024,Rice,75,Arkansas St,67,"Nassau,",Bahamas,,,
12/1/2024,@Central Conn,69,MA Lowell,67,,,,,
12/1/2024,MTSU,76,@UAB,69,,,,,
12/1/2024,@Morgan St,123,Central Penn,70,,,,,
12/1/2024,Norfolk St,77,@Stony Brook,66,,,,,
12/1/2024,Texas St,72,@TX Southern,59,,,,,
12/1/2024,Niagara,60,LIU Brooklyn,52,"Easton,",PA,,,
12/1/2024,@Troy,84,E Kentucky,74,,,,,
12/1/2024,@C Michigan,115,Purdue Northwest,69,,,,,
12/1/2024,@Kansas St,120,Ark Pine Bluff,73,,,,,
12/1/2024,@Maryland,96,Alcorn St,58,,,,,
12/1/2024,@Nebraska,103,North Florida,72,,,,,
12/1/2024,@Wofford,74,North Alabama,54,,,,,
12/1/2024,@UCF,74,Cal Baptist,59,,,,,
12/1/2024,@Portland,101,Denver,90,O2,,,,
12/1/2024,@American Univ,97,Notre Dame MD,52,,,,,
12/1/2024,@Fairfield,78,F Dickinson,74,,,,,
12/1/2024,@Fordham,83,New Hampshire,61,,,,,
12/1/2024,@Longwood,108,Regent,55,,,,,
12/1/2024,@San Francisco,87,Mercyhurst,59,,,,,
12/1/2024,Missouri St,72,@Oral Roberts,67,,,,,
12/1/2024,Maine,71,Navy,66,"Philadelphia,",PA,,,
12/1/2024,Elon,68,@Penn,53,,,,,
12/1/2024,@Stonehill,88,Quinnipiac,74,,,,,
12/1/2024,Radford,79,@St Francis PA,70,,,,,
12/1/2024,Sacred Heart,73,@Boston Univ,65,,,,,
12/1/2024,@Minnesota,79,Bethune-Cookman,62,,,,,
12/1/2024,Binghamton,82,@Lafayette,81,O1,,,,
12/1/2024,@Penn St,87,Buffalo,64,,,,,
12/1/2024,UNC Asheville,92,@Tennessee St,74,,,,,
12/1/2024,@Massachusetts,80,NJIT,68,,,,,
12/1/2024,@Xavier,71,S Carolina St,68,,,,,
12/1/2024,Rice,70,Iona,66,"Nassau,",Bahamas,,,
12/1/2024,Hofstra,68,Arkansas St,66,"Nassau,",Bahamas,,,
12/1/2024,Indiana St,87,Tarleton St,71,"Nassau,",Bahamas,,,
12/2/2024,@Jacksonville St,89,Columbia Intl,59,,,,,
12/2/2024,UT Arlington,84,@ULM,70,,,,,
12/2/2024,@St Thomas MN,98,Chicago St,76,,,,,
12/2/2024,Bryant,78,@Drexel,73,,,,,
12/2/2024,@Southern Indiana,104,East-West,46,,,,,
12/2/2024,@Colorado,75,Pacific,66,,,,,
