Date,Winner,WinnerScore,Loser,LoserScore,,,,,
11/4/2024,@Oregon St,80,Utah Tech,57,,,,,
11/4/2024,@East Carolina,97,NC Wesleyan,70,,,,,
11/4/2024,@Texas St,64,E Michigan,44,,,,,
11/4/2024,@Rhode Island,96,Fairfield,58,,,,,
11/4/2024,@Miami FL,113,F Dickinson,72,,,,,
11/4/2024,Florida,98,South Florida,83,"Jacksonville,",FL,,,
11/4/2024,@St John's,92,Fordham,60,,,,,
11/4/2024,Miami OH,77,@Appalachian St,63,,,,,
11/4/2024,@George Mason,75,NC Central,58,,,,,
11/4/2024,@Hampton,110,Mid-Atlantic Chr,53,,,,,
11/4/2024,@Missouri KC,91,Hannibal-Lagr,68,,,,,
11/4/2024,@Northern Arizona,100,Park-Gilbert,49,,,,,
11/4/2024,@Harvard,79,Marist,66,,,,,
11/4/2024,@Wisconsin,85,Holy Cross,61,,,,,
11/4/2024,@Idaho,94,Northwest WA,60,,,,,
11/4/2024,TN Martin,67,@Illinois St,65,,,,,
11/4/2024,FL Atlantic,97,Indiana St,64,"Xenia,",OH,,,
11/4/2024,@James Madison,88,Ohio,78,,,,,
11/4/2024,@UT Arlington,90,UNT Dallas,55,,,,,
11/4/2024,@Jacksonville St,112,LaGrange,48,,,,,
11/4/2024,Columbia,81,@Loyola MD,78,,,,,
11/4/2024,@Loyola-Chicago,79,Chicago St,72,,,,,
11/4/2024,@Dartmouth,129,NVU-Lyndon,47,,,,,
11/4/2024,@Vanderbilt,102,MD E Shore,63,,,,,
11/4/2024,@Belmont,93,Maryville TN,70,,,,,
11/4/2024,@G Washington,76,Mercyhurst,59,,,,,
11/4/2024,@Memphis,83,Missouri,75,,,,,
11/4/2024,@Georgia St,71,Ball St,66,,,,,
11/4/2024,@Michigan St,81,Monmouth NJ,57,,,,,
11/4/2024,@UNC Wilmington,143,Mt Olive,91,,,,,
11/4/2024,@Mt St Mary's,98,Notre Dame MD,62,,,,,
11/4/2024,@NE Omaha,85,Mid-Am Chr,69,,,,,
11/4/2024,@UNLV,93,Alabama St,79,,,,,
11/4/2024,@New Mexico St,93,NM Highlands,57,,,,,
11/4/2024,@ETSU,72,Newberry,51,,,,,
11/4/2024,@N Dakota St,96,Jamestown,59,,,,,
11/4/2024,@Florida St,74,N Kentucky,62,,,,,
11/4/2024,@Oakland,75,Defiance,52,,,,,
11/4/2024,@MTSU,97,Oglethorpe,51,,,,,
11/4/2024,Penn,58,@NJIT,57,,,,,
11/4/2024,@Pittsburgh,96,Radford,56,,,,,
11/4/2024,@Washington St,100,Portland St,92,,,,,
11/4/2024,@Providence,59,Central Conn,55,,,,,
11/4/2024,@Yale,88,Quinnipiac,62,,,,,
11/4/2024,@MA Lowell,115,Rivier,59,,,,,
11/4/2024,@Temple,81,Sacred Heart,70,,,,,
11/4/2024,Santa Clara,85,St Louis,78,Sioux,"Falls,",SD,,
11/4/2024,@St Mary's CA,76,Towson,69,,,,,
11/4/2024,@Penn St,108,Binghamton,66,,,,,
11/4/2024,@UC Santa Barbara,96,S Francisco St,47,,,,,
11/4/2024,@NC State,97,SC Upstate,66,,,,,
11/4/2024,@SE Louisiana,91,Wm Carey,53,,,,,
11/4/2024,@South Dakota,93,Southern Univ,79,,,,,
11/4/2024,@Stonehill,81,Framingham St,62,,,,,
11/4/2024,@UTEP,102,Sul Ross,55,,,,,
11/4/2024,@PFW,99,Bluffton,47,,,,,
11/4/2024,@Tennessee,80,Gardner Webb,64,,,,,
11/4/2024,@Georgia,83,Tennessee Tech,78,,,,,
11/4/2024,Ohio St,80,Texas,72,Las,"Vegas,",NV,,
11/4/2024,Northeastern,80,@Boston Univ,72,,,,,
11/4/2024,@Troy,84,Toledo,74,,,,,
11/4/2024,@Austin Peay,95,Union TN,75,,,,,
11/4/2024,@Bradley,88,SE Missouri St,60,,,,,
11/4/2024,Liberty,83,Valparaiso,63,"Xenia,",OH,,,
11/4/2024,@Villanova,75,Lafayette,63,,,,,
